RCN;Code;Title;ShortTitle;Language
847;FP7-CAPACITIES;"Programma specifico ""Capacità"" che attua il settimo programma quadro della Comunità europea per le attività di ricerca, sviluppo tecnologico e dimostrazione (2007-2013)";"Programma specifico ""Capacità""";it
847;FP7-CAPACITIES;"Program szczegółowego ""Możliwości"", wdrażającego siódmy program ramowy Wspólnoty Europejskiej w zakresie badań, rozwoju technologicznego i demonstracji (2007–2013)";"Program szczegółowego ""Możliwości""";pl
848;FP7-PEOPLE;"Specific programme ""People"" implementing the Seventh Framework Programme of the European Community for research, technological development and demonstration activities (2007 to 2013)";"Specific Programme ""People""";en
848;FP7-PEOPLE;"Spezifisches Programm ""Menschen"" zur Durchführung des Siebten Rahmenprogramms der Europäischen Gemeinschaft für Forschung, technologische Entwicklung und Demonstration (2007-2013)";"Spezifisches Programm ""Menschen""";de
848;FP7-PEOPLE;"Programa específico ""Personas"" por el que se ejecuta el séptimo programa marco de la Comunidad Europea de acciones de investigación, desarrollo tecnológico y demostración (2007-2013)";"Programa específico ""Personas""";es
848;FP7-PEOPLE;"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)";"Programme spécifique ""Personnes""";fr
848;FP7-PEOPLE;"Programma specifico ""Persone"" che attua il settimo programma quadro della Comunità europea per le attività di ricerca, sviluppo tecnologico e dimostrazione (2007-2013)";"Programma specifico ""Persone""";it
848;FP7-PEOPLE;"Program szczegółowego ""Ludzie"", wdrażającego siódmy program ramowy Wspólnoty Europejskiej w zakresie badań, rozwoju technologicznego i demonstracji (2007–2013)";"Program szczegółowego ""Ludzie""";pl
851;FP7-KBBE;"Specific Programme ""Cooperation"": Food, Agriculture and Biotechnology";Food, agriculture and fisheries, and biotechnology;en
851;FP7-KBBE;Spezifische Programm „Zusammenarbeit“: Lebensmittel, Landwirtschaft und Biotechnologie;Lebensmittel, Landwirtschaft und Fischerei, Biotechnologie;de
851;FP7-KBBE;"Programa específico ""Cooperación"": Alimentación, agricultura y biotecnología";Alimentación, agricultura y pesca y biotecnología;es
851;FP7-KBBE;"Programme spécifique ""Coopération"": Alimentation, agriculture et biotechnologie";Alimentation, agriculture et pêche, et biotechnologie;fr
851;FP7-KBBE;"Programma specifico ""Cooperazione"": Prodotti alimentari, agricoltura e biotecnologia";Prodotti alimentari, agricoltura e pesca, e biotecnologie;it
851;FP7-KBBE;Program szczegółowego „Współpraca”: żywność, rolnictwo i biotechnologia;Żywność, rolnictwo i biotechnologia;pl
852;FP7-HEALTH;"Specific Programme ""Cooperation"": Health";Health;en
852;FP7-HEALTH;Spezifisches Programm „Zusammenarbeit“: Gesundheit;Gesundheit;de
852;FP7-HEALTH;"Programa específico ""Cooperación"": Salud";Salud;es
852;FP7-HEALTH;"Programme spécifique ""Coopération"": Santé";Santé;fr
852;FP7-HEALTH;"Programma specifico ""Cooperazione"": Salute";Salute;it
852;FP7-HEALTH;Program szczegółowego „Współpraca”: zdrowie;Zdrowie;pl
853;FP7-ICT;"Specific Programme ""Cooperation"": Information and communication technologies";Information and communication technologies;en
853;FP7-ICT;Spezifisches Programm „Zusammenarbeit“: Informations und Kommunikationstechnologien;Informations- und Kommunikationstechnologien;de
853;FP7-ICT;"Programa específico ""Cooperación"": Tecnologías de la información y la comunicación";Tecnologías de la información y las comunicaciones;es
853;FP7-ICT;"Programme spécifique ""Coopération"":  Technologies de l’information et de la communication";Technologies de l'information et de la communication;fr
853;FP7-ICT;"Programma specifico ""Cooperazione"": Tecnologie dell’informazione e della comunicazione";Tecnologie dell'informazione e della comunicazione;it
853;FP7-ICT;Program szczegółowego „Współpraca”: technologie informacyjne i komunikacyjne;Technologie informacyjne i komunikacyjne;pl
854;FP7-NMP;"Specific Programme ""Cooperation"": Nanosciences, Nanotechnologies, Materials and new Production Technologies";Nanosciences, nanotechnologies, materials and new production technologies;en
854;FP7-NMP;Spezifisches Programm „Zusammenarbeit“: Nanowissenschaften, Nanotechnologien, Werkstoffe und neue Produktionstechnologien;Nanowissenschaften, Nanotechnologien, Werkstoffe und neue Produktionstechnologien;de
854;FP7-NMP;"Programa específico ""Cooperación"": Nanociencias, nanotecnologías, materiales y nuevas tecnologías de producción";Nanociencias, nanotecnologías, materiales y nuevas tecnologías de producción;es
854;FP7-NMP;"Programme spécifique ""Coopération"":  Nanosciences, nanotechnologies, matériaux et nouvelles technologies de production";Nanosciences, nanotechnologies, matériaux et nouvelles technologies de production;fr
854;FP7-NMP;"Programma specifico ""Cooperazione"": Nanoscienze, nanotecnologie, materiali e nuove tecnologie di produzione";Nanoscienze, nanotecnologie, materiali e nuove tecnologie di produzione;it
854;FP7-NMP;Program szczegółowego „Współpraca”: nanonauki, nanotechnologie, materiały i nowe technologie produkcyjne;Nanonauki, nanotechnologie, materiały i nowe technologie produkcyjne;pl
855;FP7-ENVIRONMENT;"Specific Programme ""Cooperation"": Environment (including Climate Change)";Environment (including Climate Change);en
855;FP7-ENVIRONMENT;Spezifisches Programm „Zusammenarbeit“: Umwelt (einschließlich Klimaänderung);Umwelt(einschließlich Klimaänderung);de
855;FP7-ENVIRONMENT;"Programa específico ""Cooperación"": Medio ambiente (incluido el cambio climático)";Medio ambiente (incluido el cambio climático);es
855;FP7-ENVIRONMENT;"Programme spécifique ""Coopération"": Environnement (y compris les changements climatiques)";Environnement (y compris les changements climatiques);fr
855;FP7-ENVIRONMENT;"Programma specifico ""Cooperazione"": Ambiente (incl. cambiamenti climatici)";Ambiente (incl. cambiamenti climatici);it
855;FP7-ENVIRONMENT;Program szczegółowego „Współpraca”: środowisko (łącznie ze zmianami klimatu);Środowisko (łącznie ze zmianami klimatu);pl
856;FP7-ENERGY;"Specific Programme ""Cooperation"": Energy";Energy;en
856;FP7-ENERGY;Spezifisches Programm „Zusammenarbeit“: Energie;Energie;de
856;FP7-ENERGY;"Programa específico ""Cooperación"": Energía";Energía;es
856;FP7-ENERGY;"Programme spécifique ""Coopération"": Énergie";Énergie;fr
856;FP7-ENERGY;"Programma specifico ""Cooperazione"": Energia";Energia;it
856;FP7-ENERGY;Program szczegółowego „Współpraca”: energia;Energia;pl
857;FP7-TRANSPORT;"Specific Programme ""Cooperation"": Transport (including Aeronautics)";Transport(including Aeronautics);en
857;FP7-TRANSPORT;Spezifisches Programm „Zusammenarbeit“: Verkehr (einschließlich Luftfahrt);Verkehr (einschließlich Luftfahrt);de
857;FP7-TRANSPORT;"Programa específico ""Cooperación"": Transporte (incluida la aeronáutica)";Transporte (incluida la aeronáutica);es
857;FP7-TRANSPORT;"Programme spécifique ""Coopération"": Transports (y compris l’aéronautique)";Transports (y compris l’aéronautique);fr
857;FP7-TRANSPORT;"Programma specifico ""Cooperazione"": Trasporto (incl. aeronautica)";Trasporto (incl. aeronautica);it
857;FP7-TRANSPORT;Program szczegółowego „Współpraca”: transport (łącznie z aeronautyką);Transport (łącznie z aeronautyką);pl
859;FP7-INFRASTRUCTURES;"Specific Programme ""Capacities"": Research infrastructures";Research infrastructures;en
859;FP7-INFRASTRUCTURES;"Spezifisches Programm ""Kapazitäten"": Forschungsinfrastrukturen";Forschungsinfrastrukturen;de
859;FP7-INFRASTRUCTURES;"Programa específico ""Capacidades"": Infraestructuras de investigación";Infraestructuras de investigación;es
859;FP7-INFRASTRUCTURES;"Programme spécifique ""Capacités"": Infrastructures de recherche";Infrastructures de recherche;fr
859;FP7-INFRASTRUCTURES;"Programma specifico ""Capacità"": Infrastrutture per la ricerca";Infrastrutture per la ricerca;it
859;FP7-INFRASTRUCTURES;"Program szczegółowego ""Możliwości"": infrastruktury badawcze";Infrastruktury badawcze;pl
860;FP7-REGIONS;"Specific Programme ""Capacities"": Regions of knowledge and support for regional research-driven clusters";Regions of knowledge and support for regional research-driven clusters;en
860;FP7-REGIONS;"Spezifisches Programm ""Kapazitäten"": Wissensorientierte Regionen";Wissensorientierte Regionen;de
860;FP7-REGIONS;"Programa específico ""Capacidades"": Regiones del conocimiento y apoyo a agrupaciones regionales de investigación";Regiones del conocimiento y apoyo a agrupaciones regionales de investigación;es
860;FP7-REGIONS;"Programme spécifique ""Capacités"": Régions de la connaissance";Régions de la connaissance;fr
860;FP7-REGIONS;"Programma specifico ""Capacità"": Regioni della conoscenza";Regioni della conoscenza;it
860;FP7-REGIONS;"Program szczegółowego ""Możliwości"": regiony wiedzy i wsparcia dla regionalnych klastrów badawczych";Regiony wiedzy i wsparcia dla regionalnych klastrów badawczych;pl
861;FP7-SECURITY;"Specific Programme ""Cooperation"": Security";Security;en
861;FP7-SECURITY;Spezifisches Programm „Zusammenarbeit“: Sicherheit;Sicherheit;de
861;FP7-SECURITY;"Programa específico ""Cooperación"": Seguridad";Seguridad;es
861;FP7-SECURITY;"Programme spécifique ""Coopération"": Sécurité";Sécurité;fr
861;FP7-SECURITY;"Programma specifico ""Cooperazione"": Sicurezza";Sicurezza;it
861;FP7-SECURITY;Program szczegółowego „Współpraca”: bezpieczeństwo;Bezpieczeństwo;pl
862;FP7-SME;"Specific Programme ""Capacities"": Research for the benefit of SMEs";Research for the benefit of SMEs;en
862;FP7-SME;"Spezifisches Programm ""Kapazitäten"": Forschung zugunsten von KMU";Forschung zugunsten von KMU;de
862;FP7-SME;"Programa específico ""Capacidades"": Investigación que favorezca a las PYME";Investigación que favorezca a las PYME;es
862;FP7-SME;"Programme spécifique ""Capacités"": Recherche en faveur des PME";Recherche en faveur des PME;fr
862;FP7-SME;"Programma specifico ""Capacità"": Ricerca a vantaggio delle PMI";Ricerca a vantaggio delle PMI;it
862;FP7-SME;"Program szczegółowego ""Możliwości"": badania na rzecz MŚP";Badania na rzecz MŚP;pl
863;FP7-SPACE;"Specific Programme ""Cooperation"": Space";Space;en
863;FP7-SPACE;Spezifisches Programm „Zusammenarbeit“: Weltraum;Weltraum;de
863;FP7-SPACE;"Programa específico ""Cooperación"": El espacio";El espacio;es
863;FP7-SPACE;"Programme spécifique ""Coopération"": Espace";Espace;fr
863;FP7-SPACE;"Programma specifico ""Cooperazione"": Spazio";SPAZIO;it
863;FP7-SPACE;Program szczegółowego „Współpraca”: przestrzeń kosmiczna;Przestrzeń kosmiczna;pl
864;FP7-SSH;"Specific Programme ""Cooperation"": Socio-economic Sciences and Humanities";Socio-economic Sciences and Humanities;en
864;FP7-SSH;Spezifisches Programm „Zusammenarbeit“: Sozial, Wirtschafts und Geisteswissenschaften;Sozial, Wirtschafts und Geisteswissenschaften;de
864;FP7-SSH;"Programa específico ""Cooperación"": Ciencias socioeconómicas y humanidades";Ciencias socioeconómicas y humanidades;es
864;FP7-SSH;"Programme spécifique ""Coopération"": Sciences socio-économiques et humaines";Sciences socio-économiques et humaines;fr
864;FP7-SSH;"Programma specifico ""Cooperazione"": Scienze socio-economiche e umanistiche";Scienze socio-economiche e umanistiche;it
864;FP7-SSH;Program szczegółowego „Współpraca”: nauki społeczno-ekonomiczne i humanistyczne;Nauki społeczno-ekonomiczne i humanistyczne;pl
865;FP7-INCO;"Specific Programme ""Capacities"": International co-operation";International co-operation;en
865;FP7-INCO;"Spezifisches Programm ""Kapazitäten"": Internationale Zusammenarbeit";Internationale Zusammenarbeit;de
865;FP7-INCO;"Programa específico ""Capacidades"": Cooperación internacional";Cooperación internacional;es
865;FP7-INCO;"Programme spécifique ""Capacités"": Coopération internationale";Coopération internationale;fr
865;FP7-INCO;"Programma specifico ""Capacità"": Cooperazione internazionale";Cooperazione internazionale;it
865;FP7-INCO;"Program szczegółowego ""Możliwości"": współpraca międzynarodowa";Współpraca międzynarodowa;pl
866;FP7-SIS;"Specific Programme ""Capacities"": Science in society";Science in society;en
866;FP7-SIS;"Spezifisches Programm ""Kapazitäten"": Wissenschaft in der Gesellschaft";Wissenschaft in der Gesellschaft;de
866;FP7-SIS;"Programa específico ""Capacidades"": Ciencia y Sociedad";Ciencia y Sociedad;es
866;FP7-SIS;"Programme spécifique ""Capacités"": La science dans la société";La science dans la société;fr
866;FP7-SIS;"Programma specifico ""Capacità"": La scienza nella società";La scienza nella società;it
866;FP7-SIS;"Program szczegółowego ""Możliwości"": nauka w społeczeństwie";Nauka w społeczeństwie;pl
867;FP7-EURATOM-FUSION;EURATOM: Fusion Energy Research;Fusion Energy;en
867;FP7-EURATOM-FUSION;EURATOM: Fusionsenergieforschung;Fusionsenergie;de
867;FP7-EURATOM-FUSION;EURATOM: Investigación sobre la energía de fusión;Energía de fusión;es
867;FP7-EURATOM-FUSION;EURATOM: Recherche sur l'énergie de fusion;Énergie de fusion;fr
867;FP7-EURATOM-FUSION;EURATOM: Ricerca in materia di energia da fusione;Energia da fusione;it
867;FP7-EURATOM-FUSION;EURATOM: Fusion Energy Research;Fusion Energy;pl
868;FP7-EURATOM-FISSION;EURATOM: Nuclear fission and radiation protection;Nuclear fission and radiation protection;en
868;FP7-EURATOM-FISSION;EURATOM: Kernspaltung und Strahlenschutz;Kernspaltung und Strahlenschutz;de
868;FP7-EURATOM-FISSION;EURATOM: Fisión nuclear y protección contra las radiaciones;Fisión nuclear y protección contra las radiaciones;es
868;FP7-EURATOM-FISSION;EURATOM: Fission nucléaire et radioprotection;Fission nucléaire et radioprotection;fr
868;FP7-EURATOM-FISSION;EURATOM: Fissione nucleare e radioprotezione;Fissione nucleare e radioprotezione;it
868;FP7-EURATOM-FISSION;EURATOM: Rozszczepienie jądrowe i ochrona przed promieniowaniem;Rozszczepienie jądrowe i ochrona przed promieniowaniem;pl
870;FP7-JTI;"Specific Programme ""Cooperation"": Joint Technology Initiatives";Joint Technology Initiatives;en
870;FP7-JTI;Spezifische Programm „Zusammenarbeit“: Gemeinsamen Technologieinitiativen;Gemeinsamen Technologieinitiativen;de
870;FP7-JTI;"""Programa específico """"Cooperación"""": Iniciativas Tecnológicas Conjuntas""";"""Iniciativas Tecnológicas Conjuntas """;es
870;FP7-JTI;"Programme spécifique ""Coopération"": Initiatives technologiques conjointes";Initiatives technologiques conjointes;fr
870;FP7-JTI;"Programma specifico ""Cooperazione"": Iniziative tecnologiche congiunte";Iniziative tecnologiche congiunte;it
870;FP7-JTI;"""Program szczegółowego „Współpraca”: wspólne inicjatyw technologiczne""";"""Wspólne inicjatyw technologiczne""";pl
884;FP7-ART 169;Initiatives under Article 169 of the Treaty establishing the European Community;Article 169;en
884;FP7-ART 169;Initiativen unter Artikel 169 des Vertrags zur Gründung der Europäischen Gemeinschaft;Artikel 169;de
884;FP7-ART 169;Iniciativas basadas en el artículo 169 del Tratado constitutivo de la Comunidad Europea;Artículo 169;es
884;FP7-ART 169;Initiatives relevant de l'article 169 du traité instituant la Communauté européenne;Article 169;fr
884;FP7-ART 169;Iniziative ai sensi dell'articolo 169 del trattato che istituisce la Comunità europea;Articolo 169;it
884;FP7-ART 169;Inicjatywy podejmowane na podstawie art. 169 Traktatu ustanawiającego Wspólnotę Europejską;Artykuł 169;pl
886;FP7-REGPOT;"Specific Programme ""Capacities"": Research potential of Convergence Regions";Research potential of Convergence Regions;en
886;FP7-REGPOT;"Spezifisches Programm ""Kapazitäten"": Forschungspotenzial von Konvergenzregionen Spezifisches Programm ""Kapazitäten"": Forschungspotenzial von Konvergenzregionen";Forschungspotenzial von Konvergenzregionen;de
886;FP7-REGPOT;"Programa específico ""Capacidades"": Potencial de investigación de las regiones de convergencia";Potencial de investigación de las regiones de convergencia;es
886;FP7-REGPOT;"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence";Potentiel de recherche des régions de convergence;fr
886;FP7-REGPOT;"Programma specifico ""Capacità"": Potenziale di ricerca delle regioni di convergenza";Potenziale di ricerca delle regioni di convergenza;it
886;FP7-REGPOT;"Program szczegółowego ""Możliwości"": potencjał badawczy w Regionach Konwergencji";Potencjał badawczy w Regionach Konwergencji;pl
887;FP7-ART 185 (EX 169);Initiatives under Article 185 (ex 169) of the Treaty establishing the European Community;Article 185 (ex 169);en
887;FP7-ART 185 (EX 169);Initiativen unter Artikel 185 (ex 169) des Vertrags zur Gründung der Europäischen Gemeinschaft;Artikel 185 (ex 169);de
887;FP7-ART 185 (EX 169);Iniciativas basadas en el artículo 185 (antes 169) del Tratado constitutivo de la Comunidad Europea;Artículo 185 (antes 169);es
887;FP7-ART 185 (EX 169);Initiatives relevant de l'article 185 (anciennement 169) du traité instituant la Communauté européenne ;Article 185 (anciennement 169);fr
887;FP7-ART 185 (EX 169);Iniziative ai sensi dell'articolo 185 (ex 169) del trattato che istituisce la Comunità europea;Articolo 185 (ex 169);it
887;FP7-ART 185 (EX 169);Inicjatywy podejmowane na podstawie art. 185 (dawny 169) Traktatu ustanawiającego Wspólnotę Europejską;Artykuł 185 (dawny 169);pl
891;FP7-GA;Coordination of Non-Community Research Programmes;Non-Community Research Programmes;en
891;FP7-GA;Koordination von Forschungsprogrammen in Nichtgemeinschaftsländern;Forschungsprogramme in Nichtgemeinschaftsländern;de
891;FP7-GA;Coordinación de programas de investigación no comunitarios;Programas de investigación no comunitarios;es
891;FP7-GA;Coordination de programmes de recherche non communautaires;Programmes de recherche non communautaires;fr
891;FP7-GA;Coordinamento dei programmi di ricerca non comunitari;Programmi di ricerca non comunitari;it
891;FP7-GA;Koordynowanie pozawspólnotowych programów badawczych;Pozawspólnotowe programy badawcze;pl
892;FP7-COH;"Specific Programme ""Capacities"": Support to the coherent development of research policies";Support to the coherent development of research policies;en
892;FP7-COH;"Spezifisches Programm ""Kapazitäten"": Unterstützung des Kohärenten Entwicklung von Forschungspolitiken";Unterstützung des Kohärenten Entwicklung von Forschungspolitiken;de
892;FP7-COH;"Programa específico ""Capacidades"": Apoyo al desarrollo coherente de políticas de investigación";Apoyo al desarrollo coherente de políticas de investigación;es
892;FP7-COH;"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche";Soutien au développement cohérent des politiques de recherche;fr
892;FP7-COH;"Programma specifico ""Capacità"": Sostegno ai poli di ricerca regionali";Sostegno ai poli di ricerca regionali;it
892;FP7-COH;"Program szczegółowego ""Możliwości"": wspieranie spójnego rozwoju polityki w dziedzinie badań naukowych";Wspieranie spójnego rozwoju polityki w dziedzinie badań naukowych;pl
1401;EC;EC Treaty;;en
10052;PEOPLE-1;Initial training of researchers;;en
10053;PEOPLE-2;Life-long training and career development;;en
10055;PEOPLE-2007-2-1.IEF;"Marie Curie Action: ""Intra-European Fellowships for Career Development""";;en
10056;PEOPLE-2007-2-2.ERG;"Marie Curie Action: ""European Reintegration Grants""";;en
10057;PEOPLE-2007-2-3.COFUND;"Marie Curie Action: ""Co-funding of Regional, National and International Programmes """;;en
10058;PEOPLE-2007-3-1.IAPP;"Marie Curie Action: ""Industry-Academia Partnerships and Pathways""";;en
10059;PEOPLE-2007-4-1.IOF;"Marie Curie Action: ""International Outgoing Fellowships for Career Development""";;en
10060;PEOPLE-2007-4-2.IIF;"Marie Curie Action: ""International Incoming Fellowships""";;en
10061;PEOPLE-2007-4-3.IRG;"Marie Curie Action: ""International Reintegration Grants""";;en
10062;PEOPLE-2007-5-1.NIGHT;"Marie Curie Action: ""Researchers' Night 2007""";;en
10063;PEOPLE-2007-5-2.AWARDS;"Marie Curie Action: ""Marie Curie Awards 2007""";;en
10064;PEOPLE-2007-5-2.NIGHT;"Marie Curie Action: ""Researchers' Night 2008""";;en
10065;PEOPLE-2007-5-3.ERA-MORE;ERA-MORE;;en
10066;PEOPLE-2007-5-4.NCP;NCP;;en
10067;PEOPLE-3;Industry-academia partnerships and pathways;;en
10068;PEOPLE-4;World fellowships;;en
10069;PEOPLE-5;Specific actions;;en
10070;REGIONS-1;Transnational cooperation between regional research-driven clusters;;en
10071;REGIONS-2;Facilitating the emergence of new regional research driven clusters and mutual exchange of information;;en
10072;REGPOT-1;Unlocking and developing the Research Potential of research entities established in the EU´s Convergence regions and Outermost Regions;;en
10073;REGPOT-2;International Co-operation;;en
10074;REGPOT-3;Brokerage facility for partners search;;en
10075;AAT.2.2;Time Efficient Air Transport Operations;;en
10076;AAT-1;The greening of air transport;;en
10077;AAT-1.1;Green Aircraft;;en
10078;AAT-2;Increasing time efficiency;;en
10079;AAT-2.1;Aircraft Systems and Equipment for Improved Aircraft Throughput;;en
10080;AAT-2007-1.2;Ecological Production and Maintenance;;en
10081;AAT-2007-1.3;Green Air Transport Operations;;en
10082;AAT-3;Ensuring customer satisfaction and safety;;en
10083;AAT-3.1;Passenger Friendly Cabin;;en
10084;AAT-3.2;Passenger Friendly Air Transport Operations;;en
10085;AAT-3.3;Aircraft Safety;;en
10086;AAT-3.4;Operational Safety;;en
10087;AAT-4;Improving cost efficiency;;en
10088;AAT-4.1;Aircraft Development Cost;;en
10089;AAT-4.2;Aircraft Operational Cost;;en
10090;AAT-4.3;Air Transport System Operational Cost;;en
10091;AAT-5;Protection of aircraft and passengers;;en
10092;AAT-5.1;Aircraft Security;;en
10093;AAT-5.2;Operational Security;;en
10094;AAT-6;Pioneering the air transport of the future;;en
10095;AAT-6.1;Breakthrough and emerging technologies;;en
10096;AAT-6.2;Step Changes in Air Transport Operation;;en
10097;ENERGY-1;Hydrogen and fuel cells;;en
10098;ENERGY-1.1;Fuel Cells;;en
10099;ENERGY-1.2;Hydrogen Supply;;en
10100;ENERGY-1.3;Cross-cutting issues and horizontal activities;;en
10101;ENERGY-10;Horizontal programme actions;;en
10102;ENERGY-2;Renewable electricity generation;;en
10103;ENERGY-2.1;Photovoltaics;;en
10104;ENERGY-2.3;Wind;;en
10105;ENERGY-2.4;Geothermal;;en
10106;ENERGY-2.5;Concentrated Solar Power;;en
10107;ENERGY-2.6;Ocean;;en
10108;ENERGY-2.7;Hydro;;en
10109;ENERGY-3;Renewable fuel production;;en
10110;ENERGY-3.1;First generation biofuel from biomass;;en
10111;ENERGY-3.2;Second generation fuel from biomass;;en
10112;ENERGY-3.3;Biorefinery Joint Call;;en
10113;ENERGY-3.4;Biofuels from energy crops;;en
10114;ENERGY-3.5;Alternative routes to renewable fuel production;;en
10115;ENERGY-3.6;Biofuel use in transport;;en
10116;ENERGY-4;Renewables for heating and cooling;;en
10117;ENERGY-4.1;Low/medium temperature solar thermal energy;;en
10118;ENERGY-4.3;Geothermal energy;;en
10119;ENERGY-5;CO2 capture and storage technologies for zero emission power generation;;en
10120;ENERGY-5.1;CO2 capture;;en
10121;ENERGY-5.2;CO2 STORAGE;;en
10122;ENERGY-5+6;Cross-cutting actions between activities Energy-5 and Energy-6;;en
10123;ENERGY-5+6.1;Power generation technologies for integrated zero emission solutions;;en
10124;ENERGY-5+6.2;Cross cutting and regulatory issues;;en
10125;ENERGY-6;Clean coal technologies;;en
10126;ENERGY-6.1;Conversion technologies for zero emission power generation;;en
10127;ENERGY-6.2;Coal-based poly-generation;;en
10128;ENERGY-7;Smart energy networks;;en
10129;ENERGY-7.1;Development of inter-active distribution energy networks;;en
10130;ENERGY-7.2;Pan-European energy networks;;en
10131;ENERGY-7.3;Cross cutting issues and technologies;;en
10132;ENERGY-8;Energy efficiency and savings;;en
10133;ENERGY-8.1;Efficient energy use in the manufacturing industry and building sector;;en
10134;ENERGY-8.2;High efficiency poly-generation;;en
10135;ENERGY-8.3;Large-scale integration of renewable energy supply and energy efficiency in buildings: eco-buildings;;en
10136;ENERGY-8.4;Innovative integration of renewable energy supply and energy efficiency in large communities: CONCERTO;;en
10137;ENERGY-8.5;Innovative strategies for clean urban transport: CIVITAS-PLUS;;en
10138;ENERGY-8.6;Socio-economic research and innovation;;en
10139;ENERGY-8.7;Thematic promotion and dissemination;;en
